concrete_id,sensor_id,dims,created
C002,S001,"{""nodes"": [1, 1, 0]}",2025-06-05T10:54:02+00:00Z
C003,S002,"{""nodes"": [1, 2, 0]}",2025-06-05T10:54:02+00:00Z
C001,S004,"{""nodes"": [1.2, 1.2, 1.0]}",2025-06-05T11:29:41+00:00Z
C001,S005,"{""nodes"": [1.4, 1.4, 0.8]}",2025-06-05T11:30:09+00:00Z
C001,S006,"{""nodes"": [1.6, 1.6, 1.0]}",2025-06-05T11:30:26+00:00Z
C001,S007,"{""nodes"": [1.8, 1.8, 1.0]}",2025-06-05T11:30:34+00:00Z
C001,S008,"{""nodes"": [1.2, 1.8, 1.0]}",2025-06-05T11:30:49+00:00Z
C001,S009,"{""nodes"": [1.8, 1.2, 1.0]}",2025-06-05T11:31:00+00:00Z
C001,S010,"{""nodes"": [1.6, 1.6, 0.8]}",2025-06-05T11:35:16+00:00Z
